neighborhood,count(neighborhood)
broadway east,1236
sandtown-winchester,810
harlem park,689
carrollton ridge,640
oliver,619
central park heights,614
middle east,454
midtown-edmondson,449
upton,446
coldstream homestead montebello,407
east baltimore midway,354
franklin square,353
penrose/fayette street outreach,313
shipley hill,298
penn north,293
new southwest/mount clare,264
mondawmin,259
druid heights,249
mcelderry park,242
johnston square,232
milton-montford,231
mosher,223
washington village/pigtown,207
berea,188
park circle,185
boyd-booth,174
barclay,170
coppin heights/ash-co-east,160
brooklyn,157
walbrook,148
care,147
greenspring,146
reservoir hill,139
northwest community action,138
belair-edison,134
franklintown road,129
poppleton,124
biddle street,118
easterwood,116
parkview/woodbrook,114
arlington,104
south clifton park,103
ellwood park/monument,102
greenmount west,99
rosemont,99
millhill,98
madison-eastend,92
hollins market,90
union square,87
better waverly,86
rosemont homeowners/tenants,83
mount winans,82
darley park,81
westport,78
irvington,69
winchester,69
gay street,68
saint josephs,67
towanda-grantley,62
harwood,60
edgewood,59
allendale,58
curtis bay,58
langston hughes,56
downtown,55
frankford,53
canton,52
howard park,46
winston-govans,44
cherry hill,43
carroll-south hilton,42
mount holly,40
hanlon-longwood,39
pen lucy,39
baltimore highlands,38
lucille park,38
bridgeview/greenlawn,37
concerned citizens of forest park,37
four by four,37
remington,36
waltherson,36
woodbourne-mccabe,36
dorchester,35
morrell park,35
oldtown,35
patterson park neighborhood,35
waverly,34
madison park,32
upper fells point,32
evergreen lawn,25
gwynns falls,25
woodmere,25
fells point,23
forest park,23
west arlington,22
central forest park,21
edmondson village,21
hampden,21
highlandtown,21
pimlico good neighbors,20
lower edmondson village,19
windsor hills,18
callaway-garrison,17
garwyn oaks,17
graceland park,17
parklane,17
west forest park,17
dolfield,16
glenham-belhar,16
hamilton hills,16
lakeland,16
mid-govans,16
washington hill,16
arcadia,14
cylburn,14
kresson,14
liberty square,14
charles north,13
panway/braddish avenue,13
patterson place,13
broening manor,12
mid-town belvedere,12
south baltimore,12
glen,11
greektown,11
riverside,11
jonestown,10
lauraville,10
mount vernon,10
rognel heights,10
wilson park,10
wrenlane,10
hillen,9
kernewood,9
cedmont,8
richnor springs,8
saint paul,8
fairfield area,7
north harford road,7
parkside,6
abell,5
ashburton,5
beechfield,5
butcher's hill,5
ednor gardens-lakeside,5
fairmont,5
franklintown,5
kenilworth park,5
locust point,5
new northwood,5
woodberry,5
yale heights,5
belair-parkside,4
bolton hill,4
burleith-leighton,4
cameron village,4
charles village,4
east arlington,4
federal hill,4
glen oaks,4
oakenshawe,4
old goucher,4
original northwood,4
ridgely's delight,4
seton hill,4
sharp-leadenhall,4
ten hills,4
uplands,4
violetville,4
wakefield,4
westfield,4
wilhelm park,4
bayview,3
brewers hill,3
cedonia,3
fallstaff,3
grove park,3
hunting ridge,3
idlewood,3
loch raven,3
mount washington,3
orangeville,3
ramblewood,3
university of maryland,3
belvedere,2
carroll - camden industrial area,2
cross country,2
guilford,2
little italy,2
medford,2
moravia-walther,2
perring loch,2
pulaski industrial area,2
radnor-winston,2
reisterstown station,2
rosebank,2
tremont,2
wyman park,2
barre circle,1
canton industrial area,1
chinquapin park,1
clifton park,1
evesham park,1
forest park golf course,1
hoes heights,1
hopkins bayview,1
inner harbor,1
jones falls area,1
lake evesham,1
levindale,1
mayfield,1
medfield,1
overlea,1
penn-fallsway,1
pleasant view gardens,1
roland park,1
rosemont east,1
saint agnes,1
spring garden industrial area,1
stonewood-pentwood-winston,1
taylor heights,1
westgate,1
woodbourne heights,1
